35124 44.07 1.99 50.75 3.41
35125 -999.0 -999.0 -999.0 -999.0
35127 43.76 2.14 46.53 3.29
35128 44.03 2.39 47.45 3.4
35129 43.38 2.09 45.2 3.36
35130 46.39 2.0 48.7 3.36
35131 46.57 2.34 44.22 3.85
35132 46.47 2.33 48.47 3.44
35133 44.35 2.05 45.54 3.28
35134 46.76 2.18 44.78 3.31
35140 -0.18 0.54 61.58 68.6
35141 -0.18 0.54 67.28 67.38
35143 45.72 2.22 49.35 3.3
35144 42.82 2.09 45.4 3.37
35147 42.12 1.88 44.2 3.15
35148 43.41 2.0 44.89 3.39
35149 44.3 2.1 44.16 3.31
35150 42.7 2.03 43.51 3.28
35151 44.39 2.03 46.19 3.13
35152 40.96 2.21 43.49 3.22
35153 42.86 2.57 44.58 4.08
35154 43.54 2.03 42.72 2.28
35155 42.18 2.0 47.56 2.77
