RN   Bit18Corr  Bit18UC   Bit26Corr  Bit26UC   Bit30Corr  Bit30UC 
48983 0.0757101 0.0697789 0.0757101 0.0697789 0.0757101 0.0697789
48984 0.0290188 0.0269315 0.0290188 0.0269315 0.0290188 0.0269315
48985 0.0705331 0.0658201 0.0705331 0.0658201 0.0705331 0.0658201
48986 0.0222839 0.0208926 0.0222839 0.0208926 0.0222839 0.0208926
48987 0.0086936 0.0081769 0.0086936 0.0081769 0.0086936 0.0081769
48988 0.0469579 0.0442700 0.0469579 0.0442700 0.0469579 0.0442700
48990 0.0139374 0.0132220 0.0139374 0.0132220 0.0139374 0.0132220
48991 0.0374730 0.0356167 0.0374730 0.0356167 0.0374730 0.0356167
49023 0.0343773 0.0316133 0.0343773 0.0316133 0.0343773 0.0316133
49026 0.0135688 0.0123983 0.0135688 0.0123983 0.0135688 0.0123983
49027 0.0113448 0.0104046 0.0113448 0.0104046 0.0113448 0.0104046
49029 0.0149453 0.0137746 0.0149453 0.0137746 0.0149453 0.0137746
49030 0.0144121 0.0133290 0.0144121 0.0133290 0.0144121 0.0133290
49031 0.0136055 0.0126140 0.0136055 0.0126140 0.0136055 0.0126140
49035 0.0071346 0.0069974 0.0071346 0.0069974 0.0071346 0.0069974
49038 0.0098000 0.0096169 0.0098000 0.0096169 0.0098000 0.0096169
49042 0.0112444 0.0110392 0.0112444 0.0110392 0.0112444 0.0110392
49045 0.0127665 0.0125568 0.0127665 0.0125568 0.0127665 0.0125568
49048 0.0025508 0.0025102 0.0025508 0.0025102 0.0025508 0.0025102
49053 0.0121245 0.0119449 0.0121245 0.0119449 0.0121245 0.0119449
49054 0.0091767 0.0090440 0.0091767 0.0090440 0.0091767 0.0090440
49060 0.0160350 0.0146862 0.0160350 0.0146862 0.0160350 0.0146862
49061 0.0774981 0.0717358 0.0774981 0.0717358 0.0774981 0.0717358
49062 0.0287167 0.0268055 0.0287167 0.0268055 0.0287167 0.0268055
49063 0.0289804 0.0271536 0.0289804 0.0271536 0.0289804 0.0271536
49065 0.0365692 0.0344817 0.0365692 0.0344817 0.0365692 0.0344817
49066 0.0169449 0.0160246 0.0169449 0.0160246 0.0169449 0.0160246
49067 0.0249774 0.0236655 0.0249774 0.0236655 0.0249774 0.0236655
49069 0.0352948 0.0335959 0.0352948 0.0335959 0.0352948 0.0335959
49070 0.0174663 0.0166513 0.0174663 0.0166513 0.0174663 0.0166513
49071 0.0154583 0.0147551 0.0154583 0.0147551 0.0154583 0.0147551
49072 0.0225501 0.0215540 0.0225501 0.0215540 0.0225501 0.0215540
49073 0.0082437 0.0078887 0.0082437 0.0078887 0.0082437 0.0078887
49098 0.0071809 0.0064110 0.0071809 0.0064110 0.0071809 0.0064110
49099 0.0556588 0.0501267 0.0556588 0.0501267 0.0556588 0.0501267
49100 0.0250847 0.0228047 0.0250847 0.0228047 0.0250847 0.0228047
49111 0.0641845 0.0600320 0.0641845 0.0600320 0.0641845 0.0600320
49113 0.0192672 0.0181143 0.0192672 0.0181143 0.0192672 0.0181143
49116 0.0466827 0.0441294 0.0466827 0.0441294 0.0466827 0.0441294
49118 0.0149930 0.0142520 0.0149930 0.0142520 0.0149930 0.0142520
49121 0.0567942 0.0505353 0.0567942 0.0505353 0.0567942 0.0505353
49125 0.0516462 0.0471099 0.0516462 0.0471099 0.0516462 0.0471099
49127 0.0642938 0.0597213 0.0642938 0.0597213 0.0642938 0.0597213
49128 0.0354406 0.0331458 0.0354406 0.0331458 0.0354406 0.0331458
49133 0.0143268 0.0135187 0.0143268 0.0135187 0.0143268 0.0135187
49136 0.0412767 0.0392166 0.0412767 0.0392166 0.0412767 0.0392166
